,Price,city,History,Millage,Ratings,Year,Make,Model,Transmission
0,4965000,Abia,foreign,149232,4.7,2015,Honda,Accord,Automatic
1,1280000,Accra,local,145078,4.4,2005,Toyota,Corolla,Automatic
2,1280000,Accra,local,91691,4.6,2008,Toyota,Corolla,Automatic
3,1567500,Lagos,local,234797,4.5,2004,Toyota,Corolla,Automatic
4,6065000,Lagos ,foreign,145678,4.8,2013,Hyundai,Azera,Automatic
5,2890000,Abia,foreign,207237,4.7,2009,Toyota,Sienna,Automatic
6,6615000,Lagos,foreign,76201,4.5,2009,Toyota,Venza,Automatic
7,4195000,other,foreign,124275,4.9,2015,Nissan,Versa,Automatic
8,2085000,Accra,local,0,4.0,2010,Toyota,Avensis,Automatic
9,8375000,Lagos,local,195089,4.5,2006,Toyota,Camry,Automatic
10,2430000,other,foreign,194905,4.8,2006,Honda,Pilot,Automatic
11,3465000,Abia,foreign,88687,4.8,2011,Toyota,Camry,Automatic
12,6065000,Lagos,foreign,85233,4.8,2010,Toyota,Highlander,Automatic
13,5075000,other,foreign,85637,5.0,2012,Lexus,ES 350,Automatic
14,1682500,Lagos,local,158365,4.3,2004,Toyota,Corolla,Automatic
15,3350000,Lagos,foreign,76233,4.9,2009,Toyota,Corolla,Automatic
16,2315000,Abia,foreign,153606,4.6,2003,Toyota,Avensis,Automatic
17,762500,Lagos,local,176894,3.6,2006,Honda,Accord,Automatic
18,1165000,other,local,242537,4.4,2005,Toyota,Camry,Automatic
19,3235000,Lagos,foreign,135744,4.7,2011,Hyundai,Sonata,Automatic
20,3865000,Lagos,foreign,148936,4.9,2012,Toyota,Camry,Automatic
21,2315000,Lagos,local,152878,4.9,2010,Toyota,Corolla,Automatic
22,2832500,other,foreign,133212,5.0,2009,Nissan,Altima,Automatic
23,3425000,Lagos,foreign,76285,4.8,2005,Toyota,4-Runner,Automatic
24,1050000,Lagos,local,130185,4.2,2008,Toyota,Avanza,Automatic
25,3865000,Lagos,foreign,95548,4.8,2010,Toyota,Venza,Automatic
26,2660000,Lagos,foreign,179982,4.9,2004,Toyota,RAV 4,Automatic
27,2890000,Mushin,foreign,229802,4.2,2006,Toyota,Avalon,Automatic
28,7495000,Lagos ,foreign,135332,4.9,2014,Toyota,RAV 4,Automatic
29,8815000,Lagos,foreign,18415,5.0,2017,Toyota,Corolla,Automatic
30,1970000,Lagos,foreign,0,4.7,2003,Toyota,Camry,Automatic
31,8375000,Lagos,foreign,61610,4.9,2013,Toyota,RAV 4,Automatic
32,30265000,Lagos,foreign,76794,4.9,2017,Lexus,LX 570,Automatic
33,3865000,Lagos,foreign,48254,5.0,2014,Kia,Cerato,Automatic
34,1855000,Lagos,foreign,31742,4.9,2009,Toyota,Vitz,Automatic
35,4745000,Lagos,local,40254,5.0,2015,Nissan,X-Trail,Automatic
36,2545000,Lagos,foreign,299999,4.9,2005,Toyota,Corolla,Automatic
37,705000,Lagos,local,171039,3.3,2004,Nissan,Murano,Automatic
38,820000,Lagos,local,156834,4.8,2004,Honda,Accord,Automatic
39,1855000,Lagos,foreign,151973,4.8,2007,Nissan,Maxima,Automatic
40,5185000,Lagos,foreign,65398,4.9,2013,Toyota,Sienna,Automatic
41,3645000,Lagos,foreign,170647,5.0,2010,Ford,Edge,Automatic
42,2085000,Lagos,foreign,198487,4.7,2003,Toyota,Camry,Automatic
43,3535000,Lagos ,local,42282,4.8,2011,Toyota,Sienna,Automatic
44,7715000,Lagos ,local,59125,4.6,2008,BMW,X6,Automatic
46,4415000,Lagos,foreign,71550,4.9,2013,Toyota,Corolla,Automatic
47,1452500,Lagos,local,268314,4.9,2002,Toyota,Camry,Automatic
48,705000,Lagos,local,139886,3.7,2003,Honda,Accord,Automatic
49,3005000,Lagos,foreign,155510,5.0,2007,Toyota,Avalon,Automatic
50,3235000,Lagos,foreign,99088,5.0,2009,Toyota,Corolla,Automatic
51,4195000,Lagos,foreign,74503,4.8,2014,Toyota,Corolla,Automatic
52,23115000,Lagos,foreign,14464,5.0,2019,Lexus,RX 350,Automatic
53,49515000,Lagos,foreign,14855,5.0,2018,Land,Rover Range Rover Velar,Automatic
55,2660000,Lagos,foreign,195828,4.9,2009,Toyota,Camry,Automatic
56,1165000,Lagos,local,155558,4.8,1999,Lexus,RX 300,Automatic
57,5185000,Lagos,foreign,110388,4.9,2014,Toyota,Corolla,Automatic
58,2660000,Lagos,foreign,143175,4.9,2008,Toyota,Camry,Automatic
59,8815000,Lagos,foreign,107757,4.8,2011,Lexus,RX 350,Automatic
60,1395000,Lagos,local,82998,4.2,2010,Toyota,Camry,Automatic
61,19265000,Lagos,foreign,19444,5.0,2016,Lexus,RX 350,Automatic
62,705000,Lagos,local,140155,4.1,2004,Honda,Accord,Automatic
63,3177500,Lagos,foreign,70456,4.8,2010,Toyota,Corolla,Automatic
64,1280000,Ogun ,local,158107,4.9,2005,Toyota,Corolla,Automatic
65,1165000,Ogun ,local,189229,4.7,2003,Lexus,RX 300,Automatic
66,532500,Ogun,local,226551,4.9,2000,Honda,CR-V,Automatic
67,935000,Ogun ,local,161816,4.8,2007,Toyota,Corolla,Automatic
68,7495000,Lagos,foreign,65395,5.0,2014,Toyota,RAV 4,Automatic
69,2545000,Lagos ,foreign,228321,4.8,2007,Toyota,Corolla,Automatic
70,1740000,Lagos,local,166501,4.9,2010,Toyota,Camry,Automatic
71,2545000,Lagos,foreign,65015,4.9,2011,Toyota,Corolla,Automatic
72,2660000,Lagos,local,200095,4.8,2007,Lexus,ES 350,Automatic
73,2660000,Lagos,foreign,111466,4.9,2008,Toyota,Sienna,Automatic
74,7935000,Lagos,foreign,80508,5.0,2014,Toyota,RAV 4,Automatic
75,3120000,Lagos,foreign,125095,4.7,2007,Toyota,Camry,Automatic
76,2200000,Lagos,foreign,238884,4.5,2010,Nissan,Sentra,Automatic
77,2545000,Lagos ,foreign,235765,4.9,2005,Toyota,Corolla,Automatic
78,6065000,Lagos,local,40238,4.7,2006,Toyota,Land Cruiser,Automatic
79,2660000,Lagos,foreign,147186,4.9,2006,Toyota,Corolla,Automatic
80,1912500,Lagos,local,366719,4.2,1999,Lexus,RX 330,Automatic
81,820000,Lagos,local,188844,4.4,2005,Toyota,Matrix,Automatic
82,1625000,Lagos,local,0,4.4,2007,Toyota,Camry,Automatic
83,12115000,Lagos,foreign,117011,4.7,2014,Mercedes-Benz,ML 350,Automatic
84,5845000,Lagos,local,34349,5.0,2015,Toyota,RAV 4,Automatic
85,1395000,Lagos,local,223866,4.3,2005,Toyota,Camry,Automatic
86,4415000,Lagos,local,181988,4.6,2011,Toyota,Highlander,Automatic
87,1625000,Lagos,local,273065,4.9,2002,Lexus,ES 300,Automatic
88,820000,Lagos ,local,116910,4.0,2008,Honda,Civic,Automatic
89,9915000,Lagos,foreign,42648,4.9,2016,Toyota,RAV 4,Automatic
90,3645000,Lagos ,foreign,142601,4.9,2009,Toyota,RAV 4,Automatic
91,1395000,Lagos,local,109178,4.6,2003,Toyota,Corolla,Automatic
92,11895000,Lagos,foreign,102823,5.0,2013,Mercedes-Benz,ML 350,Automatic
93,3120000,Lagos,foreign,88126,4.9,2008,Hyundai,Elantra,Automatic
94,1337500,Lagos,local,94809,4.3,2007,Toyota,Corolla,Automatic
95,1452500,Lagos ,local,443777,4.4,2007,Toyota,Camry,Automatic
96,1855000,Lagos ,local,153889,4.7,2004,Toyota,Corolla,Automatic
97,5515000,Lagos,foreign,72683,4.8,2010,Honda,Crosstour,Automatic
99,2315000,Lagos,foreign,128628,4.5,2003,Toyota,Corolla,Automatic
100,3005000,Lagos,foreign,209292,4.6,2007,Toyota,Sienna,Automatic
101,2085000,LAGOS,foreign,86516,4.6,2007,Honda,Accord,Automatic
102,6065000,Lagos,foreign,104132,4.8,2016,Toyota,Corolla,Automatic
103,3755000,Lagos,foreign,201779,4.8,2009,Hyundai,Santa Fe,Automatic
104,3350000,Lagos,foreign,137037,4.6,2011,Toyota,Camry,Automatic
105,5515000,Lagos ,foreign,52952,4.9,2012,GMC,Terrain,Automatic
106,877500,Lagos,local,168395,3.8,2006,Toyota,Corolla,Automatic
107,1280000,LAGOS,local,223508,4.7,2003,Toyota,Camry,Automatic
108,8045000,Lagos,foreign,164164,4.8,2017,Toyota,Corolla,Automatic
109,4965000,Lagos ,foreign,202171,4.9,2008,Toyota,Highlander,Automatic
110,3292500,Lagos,foreign,111194,5.0,2011,Toyota,Camry,Automatic
111,3350000,Abia,foreign,82288,4.7,2009,Toyota,Camry,Automatic
112,3865000,Lagos,foreign,92832,4.8,2016,Hyundai,Sonata,Automatic
113,3120000,Lagos,foreign,121528,4.9,2009,Toyota,Corolla,Automatic
114,2775000,Lagos,foreign,116617,4.8,2007,Toyota,Camry,Automatic
115,12665000,Lagos,foreign,100943,4.8,2013,Mercedes-Benz,ML 350,Automatic
116,3975000,Lagos,foreign,86419,4.9,2007,Lexus,ES 350,Automatic
117,3120000,Lagos,foreign,85244,4.8,2010,Toyota,Sienna,Automatic
118,4195000,Lagos,foreign,60499,4.8,2012,Toyota,Corolla,Automatic
119,2430000,Lagos,local,1398244,4.6,2007,Honda,CR-V,Automatic
120,3645000,Lagos,foreign,169525,4.9,2012,Toyota,Camry,Automatic
121,1395000,Lagos,local,245628,4.4,2005,Toyota,Corolla,Automatic
122,590000,Lagos,local,212500,4.8,2004,Toyota,Corolla,Automatic
123,3465000,Lagos,foreign,180311,4.9,2013,Toyota,Corolla,Automatic
124,3120000,Lagos,foreign,8995,4.9,2006,Toyota,Highlander,Automatic
125,9365000,Lagos,foreign,67640,5.0,2013,Mercedes-Benz,GLK 350,Automatic
126,7715000,Lagos,foreign,109950,4.8,2011,Toyota,Highlander,Automatic
127,8375000,Lagos,foreign,92649,4.9,2014,Toyota,Avalon,Automatic
128,55015000,Lagos,foreign,18297,4.7,2016,Mercedes-Benz,G 63 AMG,Automatic
129,2775000,Lagos,foreign,146287,4.9,2007,Toyota,Camry,Automatic
130,5735000,Lagos,local,44586,4.9,2015,Hyundai,ix35,Automatic
131,4140000,Lagos,foreign,93857,5.0,2005,Lexus,RX 330,Automatic
132,20365000,Lagos,foreign,13655,5.0,2018,Mercedes-Benz,C 250,Automatic
133,3920000,Lagos,foreign,174267,4.9,2006,Mercedes-Benz,ML 350,Automatic
134,6065000,Lagos,foreign,61727,5.0,2009,Lexus,RX 350,Automatic
136,20365000,Lagos,foreign,71937,5.0,2014,Lexus,GX 460,Automatic
137,8265000,Lagos,foreign,68193,4.8,2013,Toyota,Venza,Automatic
138,3535000,Lagos,foreign,94133,5.0,2010,Toyota,Camry,Automatic
139,4635000,Lagos,foreign,85363,5.0,2007,Lexus,RX 350,Automatic
140,2085000,Lagos,foreign,105478,4.8,2009,Ford,Escape,Automatic
141,5405000,Lagos,foreign,182938,4.9,2008,Toyota,Highlander,Automatic
142,4965000,Lagos,foreign,67264,4.4,2010,Honda,Crosstour,Automatic
143,22015000,Lagos,foreign,73308,4.8,2013,Lexus,LX 570,Automatic
144,7935000,Lagos,foreign,134121,4.8,2014,Toyota,Avalon,Automatic
145,3975000,Lagos,foreign,88443,4.7,2007,Lexus,ES 350,Automatic
146,2315000,Lagos,foreign,75248,4.9,2004,Toyota,RAV 4,Automatic
147,2545000,Lagos,local,139574,4.0,2007,Lexus,ES 350,Automatic
148,647500,Ogun ,local,66812,4.9,2011,Kia,Picanto,Automatic
149,2775000,Lagos,foreign,136445,4.9,2005,Toyota,Sienna,Automatic
150,7495000,Lagos,foreign,138050,5.0,2013,Lexus,ES 350,Automatic
151,3535000,Lagos,foreign,79043,4.9,2013,Toyota,Corolla,Automatic
152,7055000,Lagos,foreign,88962,5.0,2010,Acura,ZDX,Automatic
153,2200000,Lagos,foreign,85469,4.9,2007,Volkswagen,Golf,Automatic
154,5075000,Lagos,foreign,0,4.9,2009,Toyota,Highlander,Automatic
155,18165000,Lagos,foreign,49883,4.9,2017,Toyota,Highlander,Automatic
156,4305000,Lagos,foreign,69666,4.9,2014,Honda,Accord,Automatic
157,10245000,Lagos,foreign,101990,4.9,2016,Toyota,RAV 4,Automatic
158,12775000,Lagos,foreign,17346,4.9,2018,Toyota,Camry,Automatic
159,18165000,Lagos,foreign,50304,4.9,2017,Toyota,Highlander,Automatic
160,1912500,Lagos ,foreign,180293,4.7,2007,Ford,Escape,Automatic
161,7165000,Lagos,foreign,133295,5.0,2010,Mercedes-Benz,GLK 350,Automatic
162,7605000,Lagos,foreign,131168,5.0,2015,Toyota,Camry,Automatic
163,3480000,Lagos,foreign,130000,5.0,2010,Toyota,Camry,Automatic
164,9255000,Lagos,foreign,52442,5.0,2013,Toyota,Venza,Automatic
165,25315000,Lagos,foreign,2878,5.0,2019,Toyota,Camry,Automatic
167,11345000,Lagos,foreign,38264,4.9,2018,Toyota,RAV 4,Automatic
168,17945000,Lagos,foreign,6381,4.9,2019,Toyota,RAV 4,Automatic
169,13765000,Lagos,foreign,44669,5.0,2017,Toyota,Sienna,Automatic
170,4085000,Lagos,foreign,81505,4.8,2011,Toyota,RAV 4,Automatic
171,3120000,Lagos,foreign,95850,4.7,2010,Toyota,Sienna,Automatic
172,4965000,Lagos,foreign,81463,4.6,2003,Lexus,GX 470,Automatic
173,3535000,Lagos,foreign,80578,4.8,2005,Toyota,Highlander,Automatic
174,17065000,Lagos,foreign,38221,5.0,2016,Lexus,RX 350,Automatic
175,1452500,Lagos,local,373703,3.9,2004,Toyota,Sienna,Automatic
176,9585000,Lagos,foreign,108410,5.0,2013,Toyota,4-Runner,Automatic
177,6065000,Lagos,foreign,143705,4.9,2014,Acura,RDX,Automatic
178,4195000,Lagos,foreign,90928,5.0,2008,Lexus,GS 350,Automatic
179,47315000,Lagos,foreign,9986,5.0,2019,Mercedes-Benz,GLE 450,Automatic
180,25315000,Lagos,foreign,52485,5.0,2014,Land,Rover Range Rover Sport,Automatic
181,2315000,Ogun,foreign,136890,4.9,2004,Toyota,RAV 4,Automatic
182,5955000,Lagos,foreign,117497,4.7,2011,Toyota,Highlander,Automatic
183,2085000,Lagos,foreign,83641,4.9,2008,Toyota,Yaris,Automatic
184,3865000,Lagos,foreign,98424,4.8,2004,Toyota,4-Runner,Automatic
185,2200000,Lagos,foreign,178388,4.8,2005,Toyota,Camry,Automatic
186,8815000,Lagos,local,134971,4.7,2016,Honda,Pilot,Automatic
187,2085000,Lagos,foreign,102486,4.9,2004,Toyota,Camry,Automatic
188,4415000,Lagos,local,72791,4.5,2009,Toyota,Venza,Automatic
189,15415000,Lagos ,foreign,62710,4.9,2016,Toyota,Highlander,Automatic
190,3645000,Lagos ,foreign,220748,4.8,2007,Toyota,RAV 4,Automatic
191,4415000,Lagos,foreign,85441,4.9,2004,Lexus,RX 330,Automatic
192,4360000,Lagos,foreign,309306,5.0,2007,Lexus,RX 350,Automatic
193,3535000,Lagos,foreign,138290,4.8,2012,Toyota,Corolla,Automatic
194,590000,Lagos,local,245417,4.1,1998,Toyota,Camry,Automatic
195,3865000,Lagos,foreign,186153,4.9,2010,Ford,Edge,Automatic
196,5955000,Lagos ,foreign,69987,4.9,2012,Mercedes-Benz,C 300,Automatic
197,3005000,Lagos,foreign,105357,5.0,2007,Honda,Pilot,Automatic
198,1625000,Lagos,local,77038,4.9,2004,Toyota,4-Runner,Automatic
199,3645000,Lagos,foreign,69696,4.9,2010,BMW,335,Automatic
200,2775000,Lagos,foreign,85448,4.9,2009,Toyota,Camry,Automatic
201,12115000,Lagos,foreign,102901,5.0,2018,Toyota,Camry,Automatic
202,2085000,Lagos,foreign,99268,4.9,2007,Toyota,Yaris,Automatic
203,3535000,Lagos,foreign,105697,5.0,2013,Toyota,Corolla,Automatic
204,2085000,Ogun,foreign,149618,4.9,2009,Nissan,Altima,Automatic
205,3645000,Lagos ,foreign,84746,5.0,2007,Toyota,RAV 4,Automatic
206,5735000,Lagos,foreign,73677,5.0,2015,Toyota,Corolla,Automatic
207,2545000,Lagos,foreign,199738,4.7,2006,Toyota,Corolla,Automatic
208,3755000,Lagos ,foreign,42526,5.0,2013,Toyota,RAV 4,Automatic
210,7165000,Lagos ,foreign,35473,4.9,2016,Toyota,Corolla,Automatic
211,2660000,Lagos ,foreign,261406,4.9,2005,Infiniti,FX,Automatic
212,6065000,Lagos ,foreign,54418,4.9,2012,GMC,Terrain,Automatic
213,4635000,Lagos,foreign,52373,4.9,2010,Chrysler,300C,Automatic
214,5405000,Lagos,foreign,40566,5.0,2011,Lexus,LS 460,Automatic
215,3755000,Lagos,foreign,104261,5.0,2004,Toyota,RAV 4,Automatic
216,3865000,Lagos ,foreign,77316,5.0,2010,Toyota,Camry,Automatic
217,1165000,Lagos,local,280450,4.4,2008,Mitsubishi,Pajero,Automatic
218,1395000,Lagos,foreign,250500,4.9,2002,Nissan,Primera,Automatic
219,3465000,Lagos ,local,709043,4.6,2010,Infiniti,FX,Automatic
220,55015000,Lagos,foreign,20940,5.0,2018,Lexus,LX 570,Automatic
221,3755000,Lagos,foreign,233102,4.8,2006,Lexus,GS 300,Automatic
222,2200000,Lagos,foreign,94972,4.8,2006,Mercedes-Benz,E 350,Automatic
223,1912500,Lagos,foreign,199513,4.7,2003,Toyota,Matrix,Automatic
224,1740000,Lagos,local,84607,4.5,2016,GAC,Gonow Other,Automatic
225,6615000,Lagos,foreign,23219,4.9,2016,Toyota,Corolla,Automatic
226,820000,Lagos,local,111969,3.9,2003,Honda,Pilot,Automatic
227,9365000,Lagos,foreign,19584,4.9,2017,Toyota,Corolla,Automatic
228,9365000,Lagos,foreign,40247,5.0,2017,Toyota,Corolla,Automatic
229,5515000,Lagos,foreign,85372,4.8,2013,Toyota,Camry,Automatic
230,9365000,Lagos,foreign,40574,4.9,2017,Toyota,Corolla,Automatic
231,1740000,Lagos,local,112578,4.5,2013,Hyundai,ix35,Automatic
232,5405000,Lagos,foreign,73587,5.0,2012,Toyota,Camry,Automatic
233,1740000,Lagos,local,191274,4.9,2005,Toyota,Camry,Automatic
234,5625000,Lagos,foreign,80188,4.9,2008,Toyota,Highlander,Automatic
235,1475500,Lagos,local,105285,4.4,2007,Toyota,Camry,Automatic
236,2947500,Lagos,foreign,160421,5.0,2006,Lexus,GS 300,Automatic
237,1050000,Lagos,local,211084,4.8,2005,Honda,Pilot,Automatic
238,2602500,Lagos,foreign,125708,5.0,2007,Toyota,Corolla,Automatic
239,3755000,Lagos,foreign,122477,5.0,2011,Toyota,RAV 4,Automatic
240,5515000,Lagos,foreign,186704,4.9,2009,Toyota,Venza,Automatic
241,1050000,Lagos,local,121336,4.4,2001,Toyota,Sienna,Automatic
242,5735000,Lagos,foreign,151680,4.8,2009,Toyota,Highlander,Automatic
243,6505000,Lagos,foreign,88661,4.8,2013,Toyota,Avalon,Automatic
244,5405000,Lagos,foreign,139860,4.6,2005,Toyota,Tacoma,Automatic
245,1452500,Lagos,local,213009,4.8,2005,Honda,Accord,Automatic
246,1855000,Lagos,foreign,113260,4.7,2001,Lexus,ES 300,Automatic
247,6615000,Lagos,foreign,151729,4.9,2010,Toyota,Hiace,Automatic
248,3975000,Lagos,foreign,132042,4.9,2010,Acura,TSX,Automatic
249,4195000,Lagos,foreign,111271,5.0,1998,Jaguar,XJ8,Automatic
250,2890000,Lagos,foreign,186807,4.7,2006,Jeep,Cherokee,Automatic
251,2257500,Lagos,local,205290,4.0,1997,Toyota,Tacoma,Automatic
252,1510000,Lagos,local,149158,4.7,2005,Mitsubishi,Galant,Automatic
253,12115000,Lagos ,foreign,56062,5.0,2015,Lexus,RX 350,Automatic
254,3235000,Lagos,foreign,140641,4.9,2009,Toyota,Sienna,Automatic
255,8375000,Lagos,foreign,26080,4.8,2018,Toyota,Camry,Automatic
256,3005000,Lagos,foreign,62047,4.7,2009,Toyota,Corolla,Automatic
257,3755000,Lagos,foreign,0,5.0,2008,Toyota,RAV 4,Automatic
259,7935000,Lagos,foreign,7051,4.9,2017,Toyota,Corolla,Automatic
260,3465000,Ogun,local,52301,4.0,2010,Volvo,XC60,Automatic
261,1280000,Lagos,local,182282,3.8,2008,Toyota,Corolla,Automatic
262,17065000,Lagos,local,97950,4.8,2011,Lexus,LX 570,Automatic
263,3465000,Lagos,local,64503,4.9,2014,Honda,CR-V,Automatic
264,7825000,Lagos,foreign,131482,5.0,2013,Toyota,Highlander,Automatic
265,17395000,Lagos,foreign,62960,5.0,2016,Lexus,RX 350,Automatic
266,17065000,Lagos,foreign,35986,5.0,2016,Lexus,RX 350,Automatic
267,3062500,Lagos,foreign,105271,4.9,2011,Ford,Escape,Automatic
268,3975000,Lagos,foreign,96744,5.0,2012,Toyota,Corolla,Automatic
269,35215000,Lagos,foreign,42783,5.0,2018,Lexus,GX 460,Automatic
270,15195000,Lagos,foreign,73262,5.0,2016,Mercedes-Benz,C 180,Automatic
271,3120000,Lagos,foreign,50,,2007,Toyota,Camry,Automatic
272,4745000,Lagos,foreign,78358,,2009,Lexus,RX 350,Automatic
273,11565000,Lagos,foreign,133226,4.7,2012,Mercedes-Benz,ML 350,Automatic
274,4525000,Lagos,foreign,85759,5.0,2011,Toyota,Camry,Automatic
275,3465000,Lagos,foreign,78429,4.9,2008,Acura,MDX,Automatic
276,3465000,Lagos,foreign,99340,4.8,2007,Infiniti,M35,Automatic
277,3975000,Lagos ,foreign,91495,4.8,2013,Toyota,Corolla,Automatic
278,3425000,Lagos,foreign,72093,4.9,2011,Hyundai,Sonata,Automatic
280,53365000,Lagos,foreign,14498,5.0,2018,Lexus,LX 570,Automatic
281,3865000,Lagos,foreign,275338,4.9,2004,Lexus,RX 330,Automatic
282,4855000,Lagos,foreign,61807,4.9,2007,Lexus,ES 350,Automatic
283,29935000,Lagos,foreign,42750,5.0,2016,Toyota,Land Cruiser,Automatic
284,23115000,Lagos,foreign,132000,5.0,2016,Lexus,GX 460,Automatic
285,4855000,Lagos,foreign,133295,4.9,2007,Lexus,ES 350,Automatic
286,3350000,Lagos,foreign,144000,4.9,2013,Toyota,Corolla,Automatic
287,3005000,Lagos,foreign,151948,4.9,2007,Toyota,Camry,Automatic
288,5405000,Lagos,foreign,119404,4.5,2011,Ford,Explorer,Automatic
289,16515000,Lagos,foreign,2700,4.8,2020,Toyota,Corolla,Automatic
290,8265000,Lagos,foreign,47702,4.8,2015,Toyota,Venza,Automatic
291,7715000,Lagos,foreign,89361,5.0,2014,Toyota,Sienna,Automatic
292,10465000,Lagos ,foreign,131898,4.9,2013,Land,Rover Range Rover Sport,Automatic
293,10465000,Lagos,foreign,57655,4.9,2010,Audi,Q7,Automatic
294,7165000,Lagos,foreign,115336,4.8,2011,Toyota,Sienna,Automatic
295,9365000,Lagos,foreign,153006,4.9,2015,Toyota,Avalon,Automatic
296,23115000,Lagos,foreign,44293,5.0,2016,Mercedes-Benz,GLE 400,Automatic
297,12115000,Lagos ,foreign,58446,5.0,2013,Land,Rover Range Rover Evoque,Automatic
298,3108500,Lagos,foreign,97573,4.9,2013,Hyundai,Accent,Automatic
299,49515000,Lagos,foreign,19075,5.0,2016,Mercedes-Benz,GLE 63 AMG,Automatic
300,11565000,Lagos,foreign,149559,5.0,2013,Mercedes-Benz,220,Automatic
301,4415000,Lagos,foreign,132746,4.8,2008,Mercedes-Benz,300,Automatic
302,17615000,Lagos,local,17433,4.9,2014,Land,Rover Range Rover Sport,Automatic
303,11565000,Lagos,foreign,46368,5.0,2014,Mercedes-Benz,220,Automatic
304,3005000,Lagos,foreign,45279,4.9,2008,Honda,Accord,Automatic
305,4415000,Lagos,foreign,76271,5.0,2004,Lexus,RX 330,Automatic
306,3755000,Lagos,foreign,92189,4.8,2008,Acura,MDX,Automatic
307,3755000,Lagos,foreign,65252,4.7,2008,Acura,MDX,Automatic
308,935000,Lagos,foreign,101232,4.7,2010,Hyundai,Elantra,Automatic
310,14315000,Lagos,foreign,63747,4.8,2016,Toyota,Highlander,Automatic
311,2545000,Lagos,foreign,143258,4.9,2005,Toyota,Corolla,Automatic
312,10465000,Lagos,foreign,49529,4.9,2017,Toyota,Camry,Automatic
313,6285000,Lagos,foreign,119000,4.9,2010,Mercedes-Benz,GLK 350,Automatic
314,19265000,Lagos,foreign,18530,5.0,2018,Toyota,Camry,Automatic
