,Price,city,History,Millage,Ratings,Year,Make,Model,Transmission,Age
0,,Abia,foreign,,4.7,2015.0,Honda,Accord,Automatic,5.0
1,,Accra,local,,4.4,2005.0,Toyota,Corolla,Automatic,15.0
2,,Accra,local,,4.6,2008.0,Toyota,Corolla,Automatic,12.0
3,,Lagos,local,,4.5,2004.0,Toyota,Corolla,Automatic,16.0
4,,Lagos,foreign,,4.8,2013.0,Hyundai,Azera,Automatic,7.0
5,,Abia,foreign,,4.7,2009.0,Toyota,Sienna,Automatic,11.0
6,,Lagos,foreign,,4.5,2009.0,Toyota,Venza,Automatic,11.0
7,,Lagos,foreign,,4.9,2015.0,Nissan,Versa,Automatic,5.0
8,,Accra,local,,4.0,2010.0,Toyota,Avensis,Automatic,10.0
9,,Lagos,local,,4.5,2006.0,Toyota,Camry,Automatic,14.0
10,,Lagos,foreign,,4.8,2006.0,Honda,Pilot,Automatic,14.0
11,,Abia,foreign,,4.8,2011.0,Toyota,Camry,Automatic,9.0
12,,Lagos,foreign,,4.8,2010.0,Toyota,Highlander,Automatic,10.0
13,,Lagos,foreign,,5.0,2012.0,Lexus,ES 350,Automatic,8.0
14,,Lagos,local,,4.3,2004.0,Toyota,Corolla,Automatic,16.0
15,,Lagos,foreign,,4.9,2009.0,Toyota,Corolla,Automatic,11.0
16,,Abia,foreign,,4.6,2003.0,Toyota,Avensis,Automatic,17.0
17,,Lagos,local,,3.6,2006.0,Honda,Accord,Automatic,14.0
18,,Lagos,local,,4.4,2005.0,Toyota,Camry,Automatic,15.0
19,,Lagos,foreign,,4.7,2011.0,Hyundai,Sonata,Automatic,9.0
20,,Lagos,foreign,,4.9,2012.0,Toyota,Camry,Automatic,8.0
21,,Lagos,local,,4.9,2010.0,Toyota,Corolla,Automatic,10.0
22,,Lagos,foreign,,5.0,2009.0,Nissan,Altima,Automatic,11.0
23,,Lagos,foreign,,4.8,2005.0,Toyota,4-Runner,Automatic,15.0
24,,Lagos,local,,4.2,2008.0,Toyota,Avanza,Automatic,12.0
25,,Lagos,foreign,,4.8,2010.0,Toyota,Venza,Automatic,10.0
26,,Lagos,foreign,,4.9,2004.0,Toyota,RAV 4,Automatic,16.0
27,,Lagos,foreign,,4.2,2006.0,Toyota,Avalon,Automatic,14.0
28,,Lagos,foreign,,4.9,2014.0,Toyota,RAV 4,Automatic,6.0
29,,Lagos,foreign,,5.0,2017.0,Toyota,Corolla,Automatic,3.0
30,,Lagos,foreign,,4.7,2003.0,Toyota,Camry,Automatic,17.0
31,,Lagos,foreign,,4.9,2013.0,Toyota,RAV 4,Automatic,7.0
32,,Lagos,foreign,,4.9,2017.0,Lexus,LX 570,Automatic,3.0
33,,Lagos,foreign,,5.0,2014.0,Kia,Cerato,Automatic,6.0
34,,Lagos,foreign,,4.9,2009.0,Toyota,Vitz,Automatic,11.0
35,,Lagos,local,,5.0,2015.0,Nissan,X-Trail,Automatic,5.0
36,,Lagos,foreign,,4.9,2005.0,Toyota,Corolla,Automatic,15.0
37,,Lagos,local,,3.3,2004.0,Nissan,Murano,Automatic,16.0
38,,Lagos,local,,4.8,2004.0,Honda,Accord,Automatic,16.0
39,,Lagos,foreign,,4.8,2007.0,Nissan,Maxima,Automatic,13.0
40,,Lagos,foreign,,4.9,2013.0,Toyota,Sienna,Automatic,7.0
41,,Lagos,foreign,,5.0,2010.0,Ford,Edge,Automatic,10.0
42,,Lagos,foreign,,4.7,2003.0,Toyota,Camry,Automatic,17.0
43,,Lagos,local,,4.8,2011.0,Toyota,Sienna,Automatic,9.0
44,,Lagos,local,,4.6,2008.0,BMW,X6,Automatic,12.0
46,,Lagos,foreign,,4.9,2013.0,Toyota,Corolla,Automatic,7.0
47,,Lagos,local,,4.9,2002.0,Toyota,Camry,Automatic,18.0
48,,Lagos,local,,3.7,2003.0,Honda,Accord,Automatic,17.0
49,,Lagos,foreign,,5.0,2007.0,Toyota,Avalon,Automatic,13.0
50,,Lagos,foreign,,5.0,2009.0,Toyota,Corolla,Automatic,11.0
51,,Lagos,foreign,,4.8,2014.0,Toyota,Corolla,Automatic,6.0
52,,Lagos,foreign,,5.0,2019.0,Lexus,RX 350,Automatic,1.0
53,,Lagos,foreign,,5.0,2018.0,Land,Rover Range Rover Velar,Automatic,2.0
55,,Lagos,foreign,,4.9,2009.0,Toyota,Camry,Automatic,11.0
56,,Lagos,local,,4.8,1999.0,Lexus,RX 300,Automatic,21.0
57,,Lagos,foreign,,4.9,2014.0,Toyota,Corolla,Automatic,6.0
58,,Lagos,foreign,,4.9,2008.0,Toyota,Camry,Automatic,12.0
59,,Lagos,foreign,,4.8,2011.0,Lexus,RX 350,Automatic,9.0
60,,Lagos,local,,4.2,2010.0,Toyota,Camry,Automatic,10.0
61,,Lagos,foreign,,5.0,2016.0,Lexus,RX 350,Automatic,4.0
62,,Lagos,local,,4.1,2004.0,Honda,Accord,Automatic,16.0
63,,Lagos,foreign,,4.8,2010.0,Toyota,Corolla,Automatic,10.0
64,,Ogun,local,,4.9,2005.0,Toyota,Corolla,Automatic,15.0
65,,Ogun,local,,4.7,2003.0,Lexus,RX 300,Automatic,17.0
66,,Ogun,local,,4.9,2000.0,Honda,CR-V,Automatic,20.0
67,,Ogun,local,,4.8,2007.0,Toyota,Corolla,Automatic,13.0
68,,Lagos,foreign,,5.0,2014.0,Toyota,RAV 4,Automatic,6.0
69,,Lagos,foreign,,4.8,2007.0,Toyota,Corolla,Automatic,13.0
70,,Lagos,local,,4.9,2010.0,Toyota,Camry,Automatic,10.0
71,,Lagos,foreign,,4.9,2011.0,Toyota,Corolla,Automatic,9.0
72,,Lagos,local,,4.8,2007.0,Lexus,ES 350,Automatic,13.0
73,,Lagos,foreign,,4.9,2008.0,Toyota,Sienna,Automatic,12.0
74,,Lagos,foreign,,5.0,2014.0,Toyota,RAV 4,Automatic,6.0
75,,Lagos,foreign,,4.7,2007.0,Toyota,Camry,Automatic,13.0
76,,Lagos,foreign,,4.5,2010.0,Nissan,Sentra,Automatic,10.0
77,,Lagos,foreign,,4.9,2005.0,Toyota,Corolla,Automatic,15.0
78,,Lagos,local,,4.7,2006.0,Toyota,Land Cruiser,Automatic,14.0
79,,Lagos,foreign,,4.9,2006.0,Toyota,Corolla,Automatic,14.0
80,,Lagos,local,,4.2,1999.0,Lexus,RX 330,Automatic,21.0
81,,Lagos,local,,4.4,2005.0,Toyota,Matrix,Automatic,15.0
82,,Lagos,local,,4.4,2007.0,Toyota,Camry,Automatic,13.0
83,,Lagos,foreign,,4.7,2014.0,Mercedes-Benz,ML 350,Automatic,6.0
84,,Lagos,local,,5.0,2015.0,Toyota,RAV 4,Automatic,5.0
85,,Lagos,local,,4.3,2005.0,Toyota,Camry,Automatic,15.0
86,,Lagos,local,,4.6,2011.0,Toyota,Highlander,Automatic,9.0
87,,Lagos,local,,4.9,2002.0,Lexus,ES 300,Automatic,18.0
88,,Lagos,local,,4.0,2008.0,Honda,Civic,Automatic,12.0
89,,Lagos,foreign,,4.9,2016.0,Toyota,RAV 4,Automatic,4.0
