,year,city,gradeScore,sellingCondition,marketplacePrice,mileage,Transmission,make,model
0,2015,Abia,4.699999809265137,foreign,4965000,149232,Automatic,Honda,Accord
1,2005,Accra,4.400000095367432,local,1280000,145078,Automatic,Toyota,Corolla
2,2008,Accra,4.599999904632568,local,1280000,91691,Automatic,Toyota,Corolla
3,2004,Lagos,4.5,local,1567500,234797,Automatic,Toyota,Corolla
4,2013,Lagos ,4.800000190734863,foreign,6065000,145678,Automatic,Hyundai,Azera
5,2009,Abia,4.699999809265137,foreign,2890000,207237,Automatic,Toyota,Sienna
6,2009,Lagos,4.5,foreign,6615000,76201,Automatic,Toyota,Venza
7,2015,other,4.900000095367432,foreign,4195000,124275,Automatic,Nissan,Versa
8,2010,Accra,4.0,local,2085000,0,Automatic,Toyota,Avensis
9,2006,Lagos,4.5,local,8375000,195089,Automatic,Toyota,Camry
10,2006,other,4.800000190734863,foreign,2430000,194905,Automatic,Honda,Pilot
11,2011,Abia,4.800000190734863,foreign,3465000,88687,Automatic,Toyota,Camry
12,2010,Lagos,4.800000190734863,foreign,6065000,85233,Automatic,Toyota,Highlander
13,2012,other,5.0,foreign,5075000,85637,Automatic,Lexus,ES 350
14,2004,Lagos,4.300000190734863,local,1682500,158365,Automatic,Toyota,Corolla
15,2009,Lagos,4.900000095367432,foreign,3350000,76233,Automatic,Toyota,Corolla
16,2003,Abia,4.599999904632568,foreign,2315000,153606,Automatic,Toyota,Avensis
17,2006,Lagos,3.5999999046325684,local,762500,176894,Automatic,Honda,Accord
18,2005,other,4.400000095367432,local,1165000,242537,Automatic,Toyota,Camry
19,2011,Lagos,4.699999809265137,foreign,3235000,135744,Automatic,Hyundai,Sonata
20,2012,Lagos,4.900000095367432,foreign,3865000,148936,Automatic,Toyota,Camry
21,2010,Lagos,4.900000095367432,local,2315000,152878,Automatic,Toyota,Corolla
22,2009,other,5.0,foreign,2832500,133212,Automatic,Nissan,Altima
23,2005,Lagos,4.800000190734863,foreign,3425000,76285,Automatic,Toyota,4-Runner
24,2008,Lagos,4.199999809265137,local,1050000,130185,Automatic,Toyota,Avanza
25,2010,Lagos,4.800000190734863,foreign,3865000,95548,Automatic,Toyota,Venza
26,2004,Lagos,4.900000095367432,foreign,2660000,179982,Automatic,Toyota,RAV 4
27,2006,Mushin,4.199999809265137,foreign,2890000,229802,Automatic,Toyota,Avalon
28,2014,Lagos ,4.900000095367432,foreign,7495000,135332,Automatic,Toyota,RAV 4
29,2017,Lagos,5.0,foreign,8815000,18415,Automatic,Toyota,Corolla
30,2003,Lagos,4.699999809265137,foreign,1970000,0,Automatic,Toyota,Camry
31,2013,Lagos,4.900000095367432,foreign,8375000,61610,Automatic,Toyota,RAV 4
32,2017,Lagos,4.900000095367432,foreign,30265000,76794,Automatic,Lexus,LX 570
33,2014,Lagos,5.0,foreign,3865000,48254,Automatic,Kia,Cerato
34,2009,Lagos,4.900000095367432,foreign,1855000,31742,Automatic,Toyota,Vitz
35,2015,Lagos,5.0,local,4745000,40254,Automatic,Nissan,X-Trail
36,2005,Lagos,4.900000095367432,foreign,2545000,299999,Automatic,Toyota,Corolla
37,2004,Lagos,3.299999952316284,local,705000,171039,Automatic,Nissan,Murano
38,2004,Lagos,4.800000190734863,local,820000,156834,Automatic,Honda,Accord
39,2007,Lagos,4.800000190734863,foreign,1855000,151973,Automatic,Nissan,Maxima
40,2013,Lagos,4.900000095367432,foreign,5185000,65398,Automatic,Toyota,Sienna
41,2010,Lagos,5.0,foreign,3645000,170647,Automatic,Ford,Edge
42,2003,Lagos,4.699999809265137,foreign,2085000,198487,Automatic,Toyota,Camry
43,2011,Lagos ,4.800000190734863,local,3535000,42282,Automatic,Toyota,Sienna
44,2008,Lagos ,4.599999904632568,local,7715000,59125,Automatic,BMW,X6
45,2020,Lagos,5.0,new,74815000,50,Automatic,Lexus,LX 570
46,2013,Lagos,4.900000095367432,foreign,4415000,71550,Automatic,Toyota,Corolla
47,2002,Lagos,4.900000095367432,local,1452500,268314,Automatic,Toyota,Camry
48,2003,Lagos,3.700000047683716,local,705000,139886,Automatic,Honda,Accord
49,2007,Lagos,5.0,foreign,3005000,155510,Automatic,Toyota,Avalon
50,2009,Lagos,5.0,foreign,3235000,99088,Automatic,Toyota,Corolla
51,2014,Lagos,4.800000190734863,foreign,4195000,74503,Automatic,Toyota,Corolla
52,2019,Lagos,5.0,foreign,23115000,14464,Automatic,Lexus,RX 350
53,2018,Lagos,5.0,foreign,49515000,14855,Automatic,Land,Rover Range Rover Velar
54,2020,Lagos,5.0,new,83615000,189,Automatic,Lexus,LX 570
55,2009,Lagos,4.900000095367432,foreign,2660000,195828,Automatic,Toyota,Camry
56,1999,Lagos,4.800000190734863,local,1165000,155558,Automatic,Lexus,RX 300
57,2014,Lagos,4.900000095367432,foreign,5185000,110388,Automatic,Toyota,Corolla
58,2008,Lagos,4.900000095367432,foreign,2660000,143175,Automatic,Toyota,Camry
59,2011,Lagos,4.800000190734863,foreign,8815000,107757,Automatic,Lexus,RX 350
60,2010,Lagos,4.199999809265137,local,1395000,82998,Automatic,Toyota,Camry
61,2016,Lagos,5.0,foreign,19265000,19444,Automatic,Lexus,RX 350
62,2004,Lagos,4.099999904632568,local,705000,140155,Automatic,Honda,Accord
63,2010,Lagos,4.800000190734863,foreign,3177500,70456,Automatic,Toyota,Corolla
64,2005,Ogun ,4.900000095367432,local,1280000,158107,Automatic,Toyota,Corolla
65,2003,Ogun ,4.699999809265137,local,1165000,189229,Automatic,Lexus,RX 300
66,2000,Ogun,4.900000095367432,local,532500,226551,Automatic,Honda,CR-V
67,2007,Ogun ,4.800000190734863,local,935000,161816,Automatic,Toyota,Corolla
68,2014,Lagos,5.0,foreign,7495000,65395,Automatic,Toyota,RAV 4
69,2007,Lagos ,4.800000190734863,foreign,2545000,228321,Automatic,Toyota,Corolla
70,2010,Lagos,4.900000095367432,local,1740000,166501,Automatic,Toyota,Camry
71,2011,Lagos,4.900000095367432,foreign,2545000,65015,Automatic,Toyota,Corolla
72,2007,Lagos,4.800000190734863,local,2660000,200095,Automatic,Lexus,ES 350
73,2008,Lagos,4.900000095367432,foreign,2660000,111466,Automatic,Toyota,Sienna
74,2014,Lagos,5.0,foreign,7935000,80508,Automatic,Toyota,RAV 4
75,2007,Lagos,4.699999809265137,foreign,3120000,125095,Automatic,Toyota,Camry
76,2010,Lagos,4.5,foreign,2200000,238884,Automatic,Nissan,Sentra
77,2005,Lagos ,4.900000095367432,foreign,2545000,235765,Automatic,Toyota,Corolla
78,2006,Lagos,4.699999809265137,local,6065000,40238,Automatic,Toyota,Land Cruiser
79,2006,Lagos,4.900000095367432,foreign,2660000,147186,Automatic,Toyota,Corolla
80,1999,Lagos,4.199999809265137,local,1912500,366719,Automatic,Lexus,RX 330
81,2005,Lagos,4.400000095367432,local,820000,188844,Automatic,Toyota,Matrix
82,2007,Lagos,4.400000095367432,local,1625000,0,Automatic,Toyota,Camry
83,2014,Lagos,4.699999809265137,foreign,12115000,117011,Automatic,Mercedes-Benz,ML 350
84,2015,Lagos,5.0,local,5845000,34349,Automatic,Toyota,RAV 4
85,2005,Lagos,4.300000190734863,local,1395000,223866,Automatic,Toyota,Camry
86,2011,Lagos,4.599999904632568,local,4415000,181988,Automatic,Toyota,Highlander
87,2002,Lagos,4.900000095367432,local,1625000,273065,Automatic,Lexus,ES 300
88,2008,Lagos ,4.0,local,820000,116910,Automatic,Honda,Civic
89,2016,Lagos,4.900000095367432,foreign,9915000,42648,Automatic,Toyota,RAV 4
90,2009,Lagos ,4.900000095367432,foreign,3645000,142601,Automatic,Toyota,RAV 4
91,2003,Lagos,4.599999904632568,local,1395000,109178,Automatic,Toyota,Corolla
92,2013,Lagos,5.0,foreign,11895000,102823,Automatic,Mercedes-Benz,ML 350
93,2008,Lagos,4.900000095367432,foreign,3120000,88126,Automatic,Hyundai,Elantra
94,2007,Lagos,4.300000190734863,local,1337500,94809,Automatic,Toyota,Corolla
95,2007,Lagos ,4.400000095367432,local,1452500,443777,Automatic,Toyota,Camry
96,2004,Lagos ,4.699999809265137,local,1855000,153889,Automatic,Toyota,Corolla
97,2010,Lagos,4.800000190734863,foreign,5515000,72683,Automatic,Honda,Crosstour
98,2007,Lagos,4.800000190734863,new,3005000,198982,Automatic,Toyota,Sienna
99,2003,Lagos,4.5,foreign,2315000,128628,Automatic,Toyota,Corolla
100,2007,Lagos,4.599999904632568,foreign,3005000,209292,Automatic,Toyota,Sienna
101,2007,LAGOS,4.599999904632568,foreign,2085000,86516,Automatic,Honda,Accord
102,2016,Lagos,4.800000190734863,foreign,6065000,104132,Automatic,Toyota,Corolla
103,2009,Lagos,4.800000190734863,foreign,3755000,201779,Automatic,Hyundai,Santa Fe
104,2011,Lagos,4.599999904632568,foreign,3350000,137037,Automatic,Toyota,Camry
105,2012,Lagos ,4.900000095367432,foreign,5515000,52952,Automatic,GMC,Terrain
106,2006,Lagos,3.799999952316284,local,877500,168395,Automatic,Toyota,Corolla
107,2003,LAGOS,4.699999809265137,local,1280000,223508,Automatic,Toyota,Camry
108,2017,Lagos,4.800000190734863,foreign,8045000,164164,Automatic,Toyota,Corolla
109,2008,Lagos ,4.900000095367432,foreign,4965000,202171,Automatic,Toyota,Highlander
110,2011,Lagos,5.0,foreign,3292500,111194,Automatic,Toyota,Camry
111,2009,Abia,4.699999809265137,foreign,3350000,82288,Automatic,Toyota,Camry
